pH,Azot_ppm,Fosfor_ppm,Potasyum_ppm,OrganikMadde,Tuzluluk,ToprakTuru,UrunTipi
6.5,79.6,29.6,255.0,2.16,0.1,KilliTinli,Kayisi
7.7,82.5,44.6,288.1,2.56,0.27,AgirKilli,Aycicegi
7.46,63.6,28.4,206.4,3.36,0.42,AgirKilli,Aspir
5.57,41.1,39.9,286.1,3.66,0.29,KilliTinli,Anason
7.3,74.6,40.2,272.4,3.96,0.24,KilliTinli,Salep
6.36,63.3,50.4,294.5,2.7,0.43,MilliTinli,Patlican
5.55,75.5,24.5,224.2,3.76,0.4,KilliTinli,Kusburnu
6.32,81.9,62.4,308.9,4.23,0.25,MilliTinli,Kavun
6.77,53.8,21.8,197.7,2.0,0.69,Killi,Fiğ
7.58,70.6,47.2,223.6,2.9,0.47,Tinli,YerFistigi
7.35,40.1,30.1,211.3,3.51,0.1,KumluTinli,Rezene
7.27,58.7,39.9,260.9,2.14,0.16,KilliTinli,Elma
6.81,52.6,26.4,210.3,2.08,0.13,KumluTinli,Anason
6.72,69.8,29.3,263.7,2.77,0.36,KumluTinli,Incir
7.25,66.5,37.7,228.5,2.58,0.21,KumluTinli,Ayva
6.85,40.1,32.0,236.5,3.95,0.27,KumluTinli,SiloMisiri
6.18,57.7,32.9,193.0,3.71,0.23,KilliTinli,Biberiye
6.49,108.0,51.5,285.2,3.84,0.12,TinliKumlu,TazeSogan
6.51,46.4,20.6,172.2,1.31,0.7,MilliTinli,Bezelye
6.4,65.1,53.7,349.7,3.84,0.41,MilliTinli,Domates
6.73,33.0,30.0,222.2,1.59,1.01,Killi,Bezelye
6.87,107.9,36.8,255.6,2.68,0.25,KumluTinli,Patlican
6.34,62.0,40.1,245.1,2.74,0.14,KumluTinli,Lahana
7.29,31.6,21.0,185.9,2.0,0.64,MilliTinli,Nohut
7.4,54.7,44.0,189.8,2.04,0.21,KilliTinli,Ceviz
6.88,48.2,26.4,194.4,3.0,0.38,Tinli,Elma
6.19,84.9,61.2,260.0,3.53,0.31,KumluTinli,Tere
5.78,65.9,29.7,236.0,2.15,0.16,Tinli,Salep
6.48,96.8,59.7,344.1,4.09,0.44,KumluTinli,Prasa
5.53,74.7,42.3,200.9,3.68,0.2,KumluTinli,AdaCayi
6.21,44.1,36.1,204.0,3.31,0.35,Tinli,Lavanta
7.79,79.3,30.7,271.6,2.31,0.72,AgirKilli,YerFistigi
6.68,44.6,22.6,269.8,3.81,0.35,Tinli,OglanOtu
6.45,108.9,37.5,316.8,2.82,0.41,MilliTinli,Kavun
6.41,75.6,21.1,229.3,2.55,0.15,KumluTinli,Armut
7.43,37.2,23.2,203.1,1.96,0.6,Killi,Bezelye
6.69,108.0,61.5,374.3,3.76,0.39,TinliKumlu,Ispanak
6.76,60.2,20.8,182.2,3.08,0.36,Tinli,Rezene
6.57,42.3,19.2,197.8,1.97,0.58,Killi,Misir
7.17,81.8,36.2,330.3,4.1,0.22,MilliTinli,Biber
6.37,55.0,20.4,196.7,2.42,0.18,KumluTinli,Lavanta
5.76,54.9,21.8,259.2,2.35,0.19,Tinli,AntepFistigi
6.2,58.2,42.2,256.3,2.11,0.28,Tinli,Kivi
6.65,53.7,27.5,237.8,2.08,0.55,Tinli,Fasulye
6.87,47.3,42.4,213.6,3.91,0.16,KumluTinli,Yonca
6.68,25.2,15.9,208.0,1.62,0.95,MilliTinli,Bezelye
6.1,66.2,55.5,372.8,3.23,0.44,TinliKumlu,Kereviz
7.49,37.8,27.8,182.0,1.87,0.75,Killi,Misir
6.7,71.7,37.9,286.5,3.7,0.5,MilliTinli,Marul
7.4,43.4,24.4,201.0,3.81,0.26,KumluTinli,Uzum
7.18,105.0,49.8,305.6,3.06,0.44,TinliKumlu,Lahana
5.91,62.7,27.9,255.7,3.18,0.2,KumluTinli,Portakal
5.58,70.9,28.2,299.3,2.86,0.11,KumluTinli,Zeytin
7.17,82.0,37.0,306.5,2.57,0.27,Tinli,Kanola
6.11,66.0,27.3,251.4,3.09,0.17,KilliTinli,Nane
6.9,77.2,56.2,272.8,3.56,0.47,MilliTinli,Havuc
6.75,41.8,27.2,214.9,1.35,0.57,Killi,Bezelye
7.08,103.0,47.4,371.6,3.53,0.47,TinliKumlu,Sarımsak
6.03,100.6,41.5,344.9,3.3,0.48,TinliKumlu,Patlican
5.71,68.8,25.5,234.6,2.37,0.11,Tinli,Greyfurt
7.09,63.4,43.9,316.1,2.52,0.27,Tinli,Kanola
6.12,96.5,44.9,264.7,2.59,0.35,KumluTinli,Tere
6.37,44.6,26.9,296.1,2.61,0.32,KumluTinli,Greyfurt
5.67,56.3,44.2,250.3,2.46,0.32,KilliTinli,Kestane
7.21,32.1,23.0,200.1,1.55,0.46,Killi,Arpa
7.39,43.3,30.9,249.2,3.42,0.13,KilliTinli,Ceviz
5.55,43.7,34.7,190.4,2.59,0.2,KilliTinli,Anason
6.84,65.1,55.3,374.8,3.9,0.44,TinliKumlu,Maydanoz
7.18,74.4,48.9,332.6,4.26,0.4,MilliTinli,Prasa
6.8,67.4,41.8,214.8,3.31,0.44,Tinli,Kanola
7.4,67.3,43.3,262.2,2.21,0.42,AgirKilli,Aycicegi
6.22,68.3,36.2,276.1,2.51,0.1,KilliTinli,Seftali
7.86,72.9,43.9,274.2,2.42,0.58,AgirKilli,Kanola
5.77,69.4,40.2,180.8,2.6,0.26,KumluTinli,Yonca
6.45,62.2,42.4,295.6,4.2,0.16,MilliTinli,Patlican
7.24,60.9,41.6,215.2,2.09,0.15,KilliTinli,Kivi
6.29,71.8,23.1,186.4,3.11,0.33,KilliTinli,Mandalina
7.4,67.9,38.4,298.4,3.15,0.24,KilliTinli,Cilek
7.71,86.6,27.4,203.3,2.64,0.62,Tinli,Kanola
6.69,71.9,38.1,335.5,2.78,0.2,KumluTinli,Prasa
7.77,42.8,15.7,174.2,1.67,1.2,Tinli,Mercimek
6.4,71.1,22.6,221.4,3.84,0.39,KilliTinli,Ceviz
7.37,80.2,35.2,252.2,2.15,0.29,Killi,Kanola
7.15,90.3,46.5,357.3,4.42,0.38,MilliTinli,Patlican
7.77,43.4,33.0,203.6,1.26,0.86,Tinli,Yulaf
7.13,84.2,35.2,295.2,2.74,0.27,Tinli,YerFistigi
7.2,105.3,45.5,277.2,4.04,0.22,MilliTinli,Roka
7.23,37.0,27.6,173.8,2.1,0.39,Killi,Burçak
6.49,92.3,35.9,268.5,3.51,0.37,TinliKumlu,Maydanoz
6.79,45.0,44.8,278.1,2.53,0.33,KumluTinli,Kivi
6.61,61.7,57.5,365.6,3.89,0.44,TinliKumlu,Kavun
7.32,46.9,38.0,209.9,2.84,0.34,KumluTinli,Safran
7.47,64.0,27.3,237.2,2.64,0.24,KilliTinli,Ayva
6.69,51.6,44.4,280.0,2.9,0.11,KilliTinli,AdaCayi
6.91,58.7,29.5,227.2,3.56,0.36,KilliTinli,AdaCayi
7.14,88.2,33.9,266.4,2.53,0.38,AgirKilli,Soya
5.69,65.7,20.7,243.4,3.56,0.28,KumluTinli,Badem
7.46,40.8,22.5,238.7,2.14,0.1,Tinli,Kiraz
7.44,59.2,32.1,202.9,3.01,0.32,Tinli,Findik
6.15,65.2,39.6,212.2,2.38,0.39,KumluTinli,Rezene
6.89,46.5,27.6,230.3,1.9,0.84,MilliTinli,Cavdar
5.97,65.7,32.1,279.5,2.46,0.39,KumluTinli,Salep
5.66,51.9,30.2,279.5,3.59,0.26,KumluTinli,Muz
7.13,95.9,53.5,328.8,3.29,0.11,MilliTinli,Maydanoz
7.44,34.3,34.8,215.3,2.24,0.81,MilliTinli,Nohut
7.3,88.3,37.4,314.7,2.58,0.6,AgirKilli,Tütün
7.33,60.5,38.8,201.2,3.9,0.36,KumluTinli,Findik
6.61,61.9,57.5,284.4,3.35,0.29,MilliTinli,Lahana
7.0,106.9,37.7,326.1,2.73,0.27,TinliKumlu,Prasa
6.8,61.5,38.5,235.5,3.22,0.65,Tinli,Keten
6.26,69.9,29.6,211.1,3.68,0.39,KumluTinli,Zeytin
5.66,56.5,28.5,188.2,3.38,0.2,KumluTinli,Safran
6.48,40.6,44.1,227.1,2.89,0.13,KilliTinli,Korunga
6.73,57.9,22.3,233.9,2.6,0.34,Tinli,Mandalina
6.47,90.7,38.7,339.1,4.2,0.39,TinliKumlu,Havuc
6.18,42.8,38.1,268.2,2.78,0.15,Tinli,Mandalina
7.14,53.0,49.8,273.7,3.1,0.61,Killi,Tütün
5.91,64.4,43.1,270.4,2.41,0.36,KumluTinli,Visne
7.16,58.1,21.0,258.4,3.71,0.26,Tinli,Salep
7.43,48.9,20.5,232.9,2.18,0.88,MilliTinli,Yulaf
5.91,60.6,27.3,270.3,3.93,0.29,KumluTinli,Kivi
7.29,40.5,27.2,252.3,3.3,0.13,Tinli,YemSalgamı
6.88,77.9,45.0,315.1,3.04,0.18,MilliTinli,Marul
7.43,31.8,34.5,222.0,1.39,0.32,Killi,Misir
6.14,42.2,32.6,250.0,2.5,0.11,KumluTinli,Incir
7.51,32.8,20.7,226.8,1.25,0.4,Killi,Burçak
6.54,76.6,21.2,291.3,3.11,0.34,Tinli,Cilek
6.9,51.8,37.3,273.9,2.93,0.17,KilliTinli,Papatya
6.15,72.4,33.6,269.3,2.37,0.32,KumluTinli,Cay
6.95,61.7,63.0,288.0,2.95,0.39,KumluTinli,Kavun
6.79,51.5,37.6,270.7,3.93,0.19,KilliTinli,Mandalina
7.25,48.6,36.7,220.9,2.88,0.14,Tinli,AntepFistigi
7.14,74.0,62.1,273.6,3.24,0.22,MilliTinli,Sarımsak
7.68,50.2,46.6,290.2,2.78,0.68,Killi,SekerPancari
7.61,46.1,18.7,212.9,1.8,1.04,Tinli,Bugday
7.25,72.7,40.1,265.0,2.37,0.36,KilliTinli,Kusburnu
7.17,53.5,31.6,186.5,3.58,0.4,Tinli,SiloMisiri
7.21,64.7,29.2,208.1,2.05,0.34,Tinli,Kayisi
5.63,49.3,25.6,242.7,3.31,0.19,KumluTinli,AntepFistigi
6.82,93.5,48.1,351.1,1.51,0.15,MilliTinli,Karpuz
6.4,49.3,35.9,215.3,3.41,0.25,KumluTinli,Kivi
6.2,68.4,40.5,250.3,3.84,0.19,MilliTinli,Havuc
6.22,45.7,20.4,210.0,2.4,0.15,KumluTinli,Portakal
5.8,44.0,33.3,205.6,3.58,0.16,KilliTinli,Ayva
6.57,64.2,51.4,333.1,3.72,0.35,KumluTinli,Domates
5.73,54.6,37.2,227.8,3.32,0.18,KilliTinli,Kivi
6.96,99.9,59.9,282.2,2.81,0.33,TinliKumlu,Kavun
7.03,80.4,49.7,305.1,2.97,0.23,KumluTinli,Prasa
7.21,56.8,29.8,261.0,3.71,0.19,KumluTinli,MeyanKoku
7.12,45.6,23.6,297.4,2.96,0.32,KumluTinli,Greyfurt
6.87,64.8,34.9,295.4,3.82,0.34,KilliTinli,Muz
7.16,34.9,20.4,170.1,1.57,1.18,MilliTinli,Bezelye
5.68,66.9,29.1,184.1,2.47,0.31,Tinli,OglanOtu
7.43,34.1,34.7,177.9,1.88,0.62,MilliTinli,Yulaf
5.78,73.1,44.6,258.2,2.08,0.23,Tinli,Muz
7.24,64.5,35.4,252.3,2.37,0.29,Killi,SekerPancari
7.35,40.6,42.8,288.0,3.51,0.24,Tinli,Kestane
6.64,60.0,32.5,286.6,2.31,0.26,KumluTinli,Kestane
6.46,65.0,44.6,264.6,2.63,0.24,Tinli,Rezene
7.06,64.9,32.5,261.7,3.6,0.23,Tinli,Salep
6.11,79.6,45.3,268.3,2.82,0.4,KumluTinli,Tere
7.31,60.1,44.8,214.6,2.27,0.24,KumluTinli,Zeytin
6.42,59.2,22.5,293.4,3.96,0.2,Tinli,Erik
7.35,46.6,39.4,188.7,3.71,0.16,KilliTinli,Zeytin
7.21,45.9,33.5,266.1,3.03,0.17,Tinli,AdaCayi
7.29,49.5,37.2,274.2,2.87,0.15,KilliTinli,Erik
6.61,64.7,21.7,284.5,3.22,0.28,KilliTinli,SiloMisiri
7.65,69.2,34.9,270.2,3.34,0.65,Killi,Kanola
6.51,65.3,33.1,216.9,2.27,0.22,KilliTinli,Seftali
7.19,54.3,37.0,279.6,2.6,0.23,KumluTinli,Armut
6.67,71.2,48.3,282.7,3.4,0.39,TinliKumlu,Tere
5.54,54.6,26.5,255.7,3.99,0.23,KumluTinli,Lavanta
7.71,57.3,35.8,315.5,3.46,0.38,Killi,Kenevir
5.85,58.5,21.6,272.1,3.47,0.22,KumluTinli,Portakal
6.53,61.0,35.5,339.0,3.39,0.46,KumluTinli,Turp
6.47,42.6,21.5,195.5,3.07,0.11,Tinli,Limon
7.03,58.2,23.8,253.5,3.9,0.17,KilliTinli,Kestane
6.0,79.1,29.9,183.4,3.36,0.17,KilliTinli,Ceviz
6.05,60.1,28.9,221.7,3.91,0.17,Tinli,Safran
7.54,37.0,30.2,236.9,2.17,0.98,Killi,Bezelye
6.33,60.1,21.3,205.7,3.26,0.17,Tinli,Findik
7.86,52.7,48.2,201.4,2.74,0.31,Tinli,Soya
7.1,31.1,23.2,210.1,1.99,0.4,Killi,Nohut
7.39,68.2,42.8,193.2,3.02,0.14,Tinli,Cay
7.16,105.6,63.7,364.4,3.74,0.4,KumluTinli,Patlican
7.43,48.0,29.2,189.2,2.57,0.22,Tinli,Kestane
6.75,88.7,58.8,302.0,1.89,0.35,TinliKumlu,Karpuz
6.51,49.9,33.0,217.5,3.48,0.22,Tinli,Findik
6.33,62.9,49.9,324.4,3.8,0.39,KumluTinli,Prasa
7.51,35.4,32.6,213.7,1.56,1.06,Tinli,Nohut
5.91,67.9,39.9,274.0,3.48,0.4,KilliTinli,SiloMisiri
6.98,46.3,23.2,163.1,1.71,1.13,Tinli,Bugday
6.11,47.1,28.4,228.8,2.66,0.38,KumluTinli,Salep
6.46,40.0,42.6,275.2,2.38,0.34,KumluTinli,Papatya
6.83,54.4,29.5,259.4,3.54,0.32,KilliTinli,Kivi
6.8,36.0,20.9,239.6,1.5,0.7,Killi,Celtik
6.15,61.7,32.0,245.5,3.23,0.28,KilliTinli,Muz
7.1,69.7,36.3,282.7,2.76,0.23,KumluTinli,Muz
6.51,102.4,53.5,300.8,2.57,0.21,KumluTinli,Lahana
7.14,67.1,40.0,291.7,3.64,0.39,KumluTinli,Biberiye
6.69,42.7,27.0,257.3,2.01,0.26,KilliTinli,Armut
6.54,63.1,32.3,202.5,2.95,0.23,Tinli,Salep
7.1,49.0,23.7,263.2,2.5,0.24,KumluTinli,Kimyon
5.7,53.2,35.0,240.3,3.12,0.35,Tinli,Muz
5.65,52.0,22.8,216.2,3.7,0.38,KilliTinli,Safran
7.04,58.1,33.0,289.0,2.07,0.27,KilliTinli,Mandalina
5.6,67.7,25.1,267.2,3.73,0.12,KumluTinli,Incir
7.03,97.2,54.2,368.2,3.5,0.23,KumluTinli,Tere
7.29,71.1,29.5,285.8,3.7,0.28,Tinli,Kivi
6.84,73.9,43.1,231.0,2.94,0.29,KumluTinli,Visne
6.44,55.1,36.0,231.9,3.58,0.32,KumluTinli,Kimyon
6.65,103.9,44.6,252.4,4.15,0.16,TinliKumlu,Lahana
6.96,76.8,39.3,334.6,3.16,0.25,TinliKumlu,Maydanoz
6.28,74.6,22.6,243.6,2.24,0.32,KilliTinli,Ayva
7.27,40.4,22.1,163.8,2.22,0.89,Killi,Burçak
5.72,61.2,43.6,286.8,3.39,0.34,KumluTinli,Kiraz
6.73,81.2,61.8,246.8,3.72,0.23,KumluTinli,Patlican
6.19,47.7,23.7,253.2,3.23,0.32,Tinli,Yonca
6.5,78.1,44.4,376.1,3.26,0.5,TinliKumlu,Tere
6.88,63.8,41.1,280.0,3.72,0.2,KilliTinli,Incir
6.11,72.8,28.6,201.4,3.64,0.33,Tinli,Papatya
6.57,72.9,33.6,281.5,3.6,0.12,Tinli,AdaCayi
6.87,72.2,36.2,248.3,3.27,0.38,Tinli,Cilek
6.87,63.7,37.4,186.9,3.22,0.24,KilliTinli,Cay
5.59,43.9,35.9,196.4,3.8,0.19,KilliTinli,Badem
7.3,44.4,26.2,215.8,1.34,0.85,Killi,Celtik
6.52,59.7,25.0,275.6,3.16,0.25,Tinli,Greyfurt
7.1,44.4,31.6,237.5,1.44,1.01,MilliTinli,Bezelye
6.87,51.7,30.9,250.3,3.53,0.13,KumluTinli,Cilek
7.23,34.5,18.9,166.4,1.33,1.18,Killi,Bugday
7.37,51.0,27.9,309.2,2.12,0.45,Killi,Susam
7.18,78.2,23.2,182.0,2.31,0.12,Tinli,Uzum
6.94,48.6,23.2,173.9,2.02,0.35,Killi,Fiğ
5.59,70.5,21.3,281.0,2.16,0.25,KilliTinli,Armut
6.98,49.6,20.0,220.7,3.4,0.32,KilliTinli,AdaCayi
6.61,44.6,20.9,200.6,2.92,0.24,Tinli,Visne
7.02,89.1,25.8,256.2,3.2,0.46,Tinli,Kanola
6.36,64.5,41.5,274.8,2.39,0.21,KumluTinli,Kivi
7.48,43.1,21.3,191.8,1.84,1.12,MilliTinli,Nohut
5.84,61.5,39.2,188.3,2.85,0.16,KumluTinli,Nar
5.93,65.7,25.4,187.6,3.23,0.18,Tinli,Elma
6.75,52.2,22.6,167.0,2.03,0.34,Killi,Fasulye
6.75,64.8,42.6,264.2,3.58,0.22,Tinli,Elma
7.47,69.3,36.2,233.0,2.41,0.24,KilliTinli,AdaCayi
7.66,58.0,43.5,212.2,3.27,0.51,Killi,Pamuk
7.04,51.2,20.9,214.6,1.61,1.16,Killi,Fiğ
7.14,35.4,15.8,201.5,1.77,1.2,Killi,Mercimek
6.86,79.1,47.1,357.5,3.97,0.15,TinliKumlu,Ispanak
5.81,72.9,28.3,245.0,3.51,0.25,KumluTinli,Seftali
6.56,26.7,31.2,176.8,2.15,1.13,Tinli,Bugday
6.44,91.7,47.5,274.1,4.22,0.44,KumluTinli,Sarımsak
7.07,27.0,20.3,195.9,1.94,0.79,Tinli,Bugday
6.17,83.1,58.1,355.1,3.71,0.3,MilliTinli,Ispanak
6.91,45.9,17.5,165.5,1.7,0.71,Killi,Yulaf
7.41,49.0,35.8,225.7,2.97,0.24,KumluTinli,Visne
5.57,54.9,30.5,246.5,3.64,0.11,KilliTinli,Elma
7.25,47.8,40.9,282.5,3.72,0.17,Tinli,Lavanta
7.2,76.0,49.3,232.6,3.5,0.41,AgirKilli,Soya
6.77,68.3,40.9,185.3,2.7,0.33,Tinli,Salep
5.67,48.3,26.2,215.5,2.93,0.23,Tinli,AntepFistigi
7.03,62.4,35.8,260.7,2.92,0.12,TinliKumlu,Havuc
6.45,68.0,30.2,230.8,2.32,0.15,Tinli,Seftali
7.93,72.7,31.9,239.4,2.15,0.27,AgirKilli,Soya
7.18,69.0,40.0,322.9,2.51,0.21,MilliTinli,Kavun
7.4,33.8,23.0,194.1,1.34,0.6,MilliTinli,Mercimek
6.08,59.9,29.3,295.2,3.74,0.2,KilliTinli,Biberiye
7.47,75.0,40.9,201.8,2.84,0.17,KumluTinli,AdaCayi
6.32,86.3,35.0,277.7,2.78,0.4,KumluTinli,Kavun
7.2,86.3,64.0,323.5,2.61,0.48,KumluTinli,Turp
6.44,73.3,20.6,252.3,2.46,0.11,KilliTinli,Korunga
6.71,55.9,25.7,296.4,3.54,0.26,KumluTinli,Kusburnu
7.44,84.7,41.4,215.1,2.85,0.31,Killi,Tütün
5.51,43.2,21.1,233.7,3.22,0.22,Tinli,Rezene
7.01,63.4,43.9,272.3,3.09,0.71,Killi,Kanola
7.43,34.0,20.9,170.5,2.08,0.83,Killi,Burçak
6.4,56.9,30.2,184.4,3.43,0.36,KumluTinli,Findik
5.82,72.9,29.7,188.4,3.32,0.37,Tinli,Cilek
7.12,60.3,30.7,277.2,3.9,0.18,Tinli,Cay
7.01,46.6,25.4,221.7,1.79,0.33,Killi,Bugday
7.12,42.5,28.4,254.7,2.24,0.2,KilliTinli,Lavanta
7.46,61.1,27.2,182.0,2.64,0.31,KilliTinli,Uzum
6.11,55.9,21.5,197.3,3.83,0.3,KumluTinli,YemSalgamı
6.9,37.0,22.8,169.7,2.09,0.89,MilliTinli,Bezelye
7.43,72.0,33.6,187.2,3.02,0.17,KumluTinli,Nar
7.02,41.5,34.9,200.0,1.91,1.01,Killi,Fasulye
5.92,48.5,40.7,181.5,3.5,0.16,Tinli,Ceviz
6.93,103.9,40.9,369.5,4.07,0.37,KumluTinli,Sarımsak
7.0,62.6,33.5,222.8,2.19,0.31,AgirKilli,Susam
7.42,51.9,25.3,170.6,1.92,1.2,Killi,Misir
7.15,62.6,36.7,194.7,2.01,0.37,Tinli,Papatya
7.41,65.6,37.8,312.2,2.37,0.27,Killi,SekerPancari
6.26,49.7,28.8,280.0,3.53,0.21,KumluTinli,Safran
6.56,68.5,56.7,318.6,3.08,0.19,MilliTinli,Hiyar
6.53,64.5,39.4,238.5,3.5,0.35,KilliTinli,Elma
7.0,75.5,64.6,353.7,2.94,0.41,KumluTinli,Hiyar
6.87,33.7,27.2,217.9,2.11,1.0,MilliTinli,Misir
7.45,78.9,24.5,215.5,3.34,0.32,KilliTinli,AntepFistigi
6.09,55.2,39.5,223.6,3.1,0.25,KilliTinli,Cay
6.84,44.6,29.7,223.9,3.58,0.32,KumluTinli,Limon
6.75,67.9,34.3,273.2,2.09,0.15,Tinli,Nane
6.44,93.5,53.3,331.5,3.64,0.49,KumluTinli,Tere
7.23,74.6,26.5,286.0,2.82,0.29,KumluTinli,Findik
7.33,49.6,31.7,160.1,1.24,1.09,Tinli,Fasulye
6.75,51.5,33.5,250.8,2.45,0.17,Tinli,AdaCayi
6.05,83.6,36.5,311.5,3.83,0.36,TinliKumlu,Havuc
7.98,82.8,48.6,243.2,3.48,0.54,AgirKilli,Soya
6.48,47.3,43.9,250.8,3.72,0.26,Tinli,Erik
7.41,65.7,23.0,263.9,3.43,0.22,KilliTinli,Lavanta
6.52,97.8,58.0,374.2,2.75,0.43,TinliKumlu,Tere
6.45,42.9,28.5,284.2,3.4,0.31,Tinli,Erik
6.44,58.6,21.5,183.9,2.84,0.21,KilliTinli,Kivi
7.63,60.5,35.7,225.9,2.72,0.34,Tinli,Susam
6.78,93.7,41.7,361.0,3.71,0.37,TinliKumlu,Kavun
6.45,53.9,28.0,229.6,2.9,0.16,Tinli,AntepFistigi
7.16,64.9,50.0,328.2,4.3,0.29,TinliKumlu,Domates
5.92,72.8,31.5,221.5,2.28,0.17,Tinli,Muz
7.13,65.8,39.6,288.6,2.73,0.19,KilliTinli,AntepFistigi
7.78,73.1,28.5,213.5,2.86,0.42,Killi,Susam
7.02,66.4,39.3,281.9,3.53,0.45,TinliKumlu,Biber
6.69,41.9,33.1,216.5,1.22,0.34,Killi,Mercimek
7.5,81.7,31.3,222.1,2.03,0.3,Tinli,Tütün
6.94,75.9,46.5,331.2,4.19,0.31,MilliTinli,Roka
7.47,59.4,21.0,250.6,3.87,0.39,KumluTinli,Uzum
6.69,57.3,25.0,294.9,2.77,0.13,KumluTinli,Cay
7.45,79.9,26.0,192.1,3.27,0.35,KumluTinli,Yonca
6.5,42.0,21.4,248.7,2.65,0.38,KilliTinli,Kayisi
5.53,44.1,37.6,293.2,3.3,0.15,Tinli,Rezene
6.75,100.2,55.3,288.9,3.2,0.42,KumluTinli,Prasa
6.13,67.9,23.6,275.4,3.88,0.12,KumluTinli,Seftali
7.76,33.5,22.1,234.7,1.58,1.2,MilliTinli,Fasulye
6.9,68.0,38.1,294.0,2.43,0.3,Tinli,Korunga
6.08,64.5,26.2,210.6,3.91,0.18,KumluTinli,MeyanKoku
6.16,66.5,33.5,266.2,3.32,0.27,KilliTinli,Mandalina
6.08,99.8,57.4,283.5,3.08,0.12,MilliTinli,Hiyar
6.3,78.9,20.9,284.9,3.49,0.32,KumluTinli,Salep
5.61,69.1,36.5,258.6,3.72,0.15,KumluTinli,Kayisi
7.23,40.3,30.8,237.2,1.74,0.57,Killi,Burçak
7.67,88.1,43.1,254.0,2.39,0.26,Tinli,Aspir
6.61,108.2,58.7,273.3,3.71,0.18,TinliKumlu,TazeSogan
6.31,77.1,20.2,216.1,3.7,0.27,Tinli,AntepFistigi
7.07,76.6,41.9,294.2,3.14,0.32,KumluTinli,SiloMisiri
6.93,33.7,22.7,180.4,1.95,0.85,MilliTinli,Celtik
5.81,77.7,44.5,237.7,2.81,0.19,KilliTinli,Nane
6.98,65.2,23.1,214.4,3.12,0.14,KumluTinli,Kusburnu
7.2,61.3,34.4,304.7,3.09,0.28,Tinli,Susam
6.93,50.0,36.8,280.8,3.38,0.41,Killi,Aspir
6.0,48.8,35.4,229.6,3.82,0.1,KilliTinli,YemSalgamı
5.6,75.2,20.5,230.0,2.38,0.34,Tinli,AdaCayi
6.75,86.3,42.1,344.7,4.27,0.19,TinliKumlu,Lahana
7.16,39.3,22.2,191.6,2.11,0.67,Tinli,Misir
6.65,71.1,38.1,372.4,2.21,0.49,MilliTinli,Karpuz
7.08,61.6,48.3,287.9,2.97,0.1,KumluTinli,Tere
7.33,73.9,44.4,212.7,3.28,0.27,Killi,Soya
7.4,73.5,33.7,217.9,2.97,0.39,Tinli,Kayisi
6.66,99.3,63.0,281.3,3.15,0.36,KumluTinli,Hiyar
7.6,50.7,22.1,186.6,2.3,0.58,Tinli,Arpa
6.15,70.6,24.1,228.3,3.49,0.14,Tinli,Erik
7.3,69.1,40.9,195.8,2.17,0.31,KumluTinli,Cilek
5.77,77.2,29.2,261.2,3.72,0.37,KilliTinli,Badem
6.27,57.1,24.3,199.0,2.28,0.13,Tinli,Greyfurt
6.06,82.8,59.0,286.2,4.4,0.37,TinliKumlu,Biber
6.89,51.9,42.1,208.7,3.06,0.13,KumluTinli,Nar
5.75,64.6,35.4,227.6,3.51,0.32,KilliTinli,Portakal
7.89,84.8,43.1,225.8,3.39,0.59,Tinli,Soya
6.77,84.9,54.3,292.6,3.92,0.29,KumluTinli,Kereviz
7.43,66.3,29.2,282.9,2.12,0.34,KilliTinli,MeyanKoku
7.68,43.4,24.5,217.1,1.51,1.09,Tinli,Nohut
7.79,50.3,33.0,245.4,2.7,0.34,AgirKilli,Soya
6.95,102.6,46.6,277.3,3.28,0.13,MilliTinli,Kavun
6.24,109.5,64.7,341.9,3.04,0.3,TinliKumlu,Turp
7.36,62.1,37.9,251.3,2.94,0.29,Tinli,Kusburnu
7.47,71.4,29.9,230.8,2.87,0.69,AgirKilli,SekerPancari
5.64,55.3,35.5,237.0,2.19,0.12,KumluTinli,Visne
7.14,88.1,45.7,312.0,3.02,0.32,KumluTinli,Havuc
6.42,54.6,32.1,286.0,2.12,0.39,KumluTinli,Elma
5.89,63.7,35.5,243.0,3.35,0.3,KumluTinli,Incir
6.68,60.5,43.2,258.8,2.9,0.11,Tinli,Salep
6.8,51.4,30.6,234.8,3.71,0.12,KumluTinli,Cay
6.63,62.1,43.7,230.3,3.75,0.29,KumluTinli,Nar
6.3,84.8,59.2,373.8,4.23,0.32,KumluTinli,Turp
5.58,51.0,30.6,267.8,3.9,0.13,KumluTinli,Kusburnu
6.73,91.2,54.9,349.3,4.29,0.44,MilliTinli,Prasa
5.77,47.5,26.5,285.3,3.11,0.2,KilliTinli,Kestane
7.52,55.9,37.2,290.0,3.14,0.28,Tinli,Pamuk
5.51,43.7,21.5,192.2,2.14,0.19,KilliTinli,Papatya
7.22,63.6,26.1,185.8,2.32,0.16,Tinli,AntepFistigi
7.05,78.9,21.6,243.0,2.66,0.17,Tinli,Kusburnu
6.31,43.3,33.1,286.1,2.33,0.29,KilliTinli,AntepFistigi
7.91,61.9,40.5,285.7,2.17,0.23,Tinli,Aycicegi
7.71,68.2,29.4,225.3,2.54,0.32,Killi,Aspir
6.05,76.2,30.5,210.6,2.62,0.23,Tinli,Elma
5.68,48.1,26.0,228.4,3.85,0.33,Tinli,Cay
