pH,EC,Sertlik,Nitrat,Nitrit,Sodyum,Klor,SulamayaUygun
7.07,0.46,19.0,17.6,0.027,32.8,15.5,True
6.78,0.89,20.3,18.4,0.025,14.3,53.4,True
6.61,0.69,17.1,23.7,0.031,32.2,24.4,True
7.63,0.79,16.0,8.7,0.03,43.8,24.7,True
6.88,0.79,14.1,12.4,0.035,34.1,41.6,True
4.87,3.05,42.6,72.2,1.692,164.4,280.5,False
5.54,4.12,53.2,61.2,0.53,195.3,387.2,False
6.61,0.45,19.2,11.0,0.034,33.5,52.5,True
6.73,0.25,11.9,22.1,0.007,32.7,27.2,True
7.35,0.64,13.4,5.8,0.012,30.0,48.4,True
8.5,2.42,38.8,85.7,0.769,162.7,392.1,False
7.42,0.31,16.8,17.2,0.032,24.7,22.3,True
7.63,0.37,12.2,10.9,0.029,30.3,59.5,True
4.67,2.45,64.2,74.9,1.064,183.3,384.2,False
7.14,0.36,19.7,11.7,0.015,32.3,30.3,True
6.57,0.36,22.0,12.7,0.039,26.5,36.5,True
7.09,0.84,14.8,21.2,0.019,28.6,27.5,True
4.73,2.81,37.8,89.2,1.532,223.8,353.3,False
7.12,0.33,16.1,7.7,0.023,37.0,19.5,True
7.66,0.49,19.3,19.2,0.039,13.5,52.6,True
6.6,0.68,20.1,18.1,0.017,42.3,20.2,True
7.26,0.31,10.4,17.3,0.01,28.2,50.9,True
5.07,2.65,50.7,84.2,1.778,220.2,354.8,False
6.65,0.86,21.0,16.9,0.023,22.4,39.6,True
7.7,0.79,12.7,7.3,0.039,16.4,19.9,True
6.65,0.34,16.6,18.5,0.031,32.3,28.5,True
7.58,0.38,21.4,21.5,0.025,16.0,24.5,True
9.67,3.83,37.3,54.2,0.518,210.1,392.4,False
6.95,0.21,17.9,21.9,0.011,43.6,59.7,True
6.65,0.72,11.0,21.0,0.035,41.5,17.8,True
7.29,0.45,18.2,7.5,0.03,17.9,25.7,True
7.2,0.22,15.2,18.3,0.036,36.0,52.4,True
7.46,0.82,19.4,12.5,0.034,20.2,52.5,True
7.63,0.2,19.0,24.4,0.015,16.0,19.5,True
6.68,0.75,19.9,11.2,0.006,44.8,47.9,True
6.84,0.78,19.8,22.7,0.032,37.3,32.9,True
7.6,0.69,16.4,15.0,0.025,22.0,51.1,True
7.33,0.62,10.5,17.4,0.022,18.7,50.5,True
9.09,3.2,37.2,73.9,1.577,149.7,290.7,False
7.78,0.78,12.4,13.1,0.02,30.8,26.9,True
5.61,2.28,48.8,61.3,1.865,243.0,396.4,False
8.57,2.23,58.2,84.3,1.538,256.0,319.2,False
7.03,0.43,11.2,15.5,0.036,33.5,38.9,True
8.33,4.42,42.5,73.1,1.852,151.2,197.5,False
7.41,0.67,17.7,8.3,0.005,24.9,40.3,True
5.11,2.78,52.9,50.3,1.261,289.5,316.6,False
7.22,0.72,14.6,10.8,0.006,20.8,24.3,True
5.79,3.18,49.2,73.6,1.779,277.2,347.0,False
6.81,0.56,12.3,12.1,0.012,25.3,29.1,True
8.82,2.79,47.2,59.4,0.845,228.8,312.3,False
7.3,0.35,19.9,9.7,0.029,36.5,41.9,True
6.95,0.82,21.8,12.2,0.012,37.3,28.8,True
7.34,0.75,20.0,23.2,0.032,41.4,18.0,True
7.36,0.22,17.0,6.0,0.037,42.3,18.9,True
5.44,3.44,36.5,54.9,1.804,256.5,267.7,False
6.9,0.51,13.1,7.8,0.027,28.3,35.5,True
6.57,0.42,18.5,5.2,0.035,30.0,23.7,True
6.75,0.88,20.0,15.9,0.031,10.6,38.3,True
8.7,4.27,44.9,55.3,0.598,186.0,209.5,False
7.57,0.62,14.7,10.2,0.019,13.8,36.7,True
6.88,0.25,21.9,6.3,0.013,24.3,55.6,True
6.85,0.59,11.1,5.1,0.018,34.5,37.3,True
7.03,0.24,18.3,6.9,0.032,16.5,53.5,True
6.71,0.4,10.0,24.6,0.037,43.4,17.9,True
7.01,0.6,20.2,23.0,0.007,20.3,43.5,True
7.73,0.23,14.7,9.0,0.006,15.2,34.9,True
7.02,0.66,20.0,18.7,0.006,10.6,55.3,True
7.34,0.84,17.2,23.9,0.028,31.5,23.5,True
6.82,0.43,19.5,11.3,0.007,25.9,35.5,True
7.34,0.8,19.9,12.6,0.034,36.4,16.5,True
7.48,0.69,15.2,19.0,0.015,17.3,17.8,True
5.7,3.13,63.6,58.8,0.538,181.5,293.3,False
6.55,0.62,15.6,9.6,0.039,25.7,59.3,True
9.25,2.51,57.1,51.3,1.779,161.1,289.6,False
7.44,0.84,13.5,15.3,0.037,34.5,58.0,True
7.43,0.36,12.3,14.0,0.011,33.6,22.0,True
7.35,0.86,21.5,24.9,0.015,24.3,37.2,True
7.59,0.87,15.8,23.3,0.019,40.1,26.7,True
5.24,3.99,54.6,88.8,1.187,216.3,377.2,False
4.88,3.19,63.2,61.2,0.552,279.1,215.0,False
7.23,0.33,15.6,10.2,0.029,23.3,33.2,True
6.6,0.66,16.8,16.4,0.036,13.4,46.0,True
7.01,0.33,16.8,6.3,0.024,21.9,57.7,True
6.69,0.65,14.6,18.0,0.034,32.4,35.2,True
6.87,0.77,10.6,9.3,0.019,37.7,21.9,True
6.84,0.41,20.6,14.8,0.039,18.3,21.1,True
7.05,0.59,21.5,14.5,0.028,23.0,26.1,True
7.41,0.72,14.2,21.7,0.015,41.0,52.6,True
7.02,0.86,18.3,6.6,0.025,39.3,19.8,True
7.35,0.22,17.7,7.1,0.007,29.0,36.4,True
7.1,0.24,15.8,24.3,0.006,20.9,16.2,True
7.38,0.77,19.7,22.9,0.008,42.0,22.2,True
7.22,0.51,11.4,13.4,0.019,22.1,49.1,True
6.82,0.61,19.3,17.3,0.021,10.7,39.3,True
7.57,0.73,15.4,17.3,0.03,11.8,57.9,True
6.52,0.32,17.6,15.6,0.025,33.0,16.8,True
6.57,0.33,15.0,8.7,0.013,19.7,22.2,True
8.63,2.96,55.2,55.7,0.711,209.5,309.1,False
4.88,2.36,64.7,79.1,1.445,192.6,358.5,False
6.99,0.38,13.0,10.4,0.015,30.3,58.8,True
7.48,0.61,15.5,12.9,0.032,38.5,53.3,True
6.9,0.54,11.6,12.6,0.027,15.6,18.6,True
6.86,0.52,11.4,22.2,0.018,22.0,51.0,True
7.48,0.48,10.7,23.0,0.032,35.1,35.5,True
7.61,0.55,11.5,11.9,0.022,22.9,32.5,True
6.52,0.33,20.3,17.2,0.026,36.6,56.8,True
9.68,4.38,62.9,60.3,1.78,254.4,246.0,False
5.31,2.55,41.6,61.2,1.787,208.3,358.1,False
7.47,0.77,10.0,9.1,0.011,34.2,50.5,True
6.73,0.62,11.7,14.2,0.038,32.8,55.1,True
7.04,0.37,10.1,6.2,0.007,33.6,42.5,True
7.06,0.24,21.1,10.6,0.04,11.8,51.8,True
6.52,0.67,19.5,7.4,0.019,10.8,43.7,True
6.92,0.36,16.3,18.6,0.012,22.6,23.1,True
7.5,0.38,17.2,22.4,0.031,35.5,43.6,True
6.84,0.74,14.4,8.6,0.015,23.1,48.2,True
9.37,2.9,44.5,74.8,1.816,150.8,335.7,False
7.29,0.47,17.7,23.9,0.019,35.9,48.6,True
6.68,0.42,10.3,22.6,0.015,42.4,42.0,True
6.81,0.34,20.6,12.7,0.006,20.1,31.4,True
7.17,0.47,12.4,9.1,0.023,20.4,44.6,True
7.13,0.69,21.6,20.5,0.038,31.8,25.7,True
6.73,0.43,17.3,16.7,0.033,27.0,56.5,True
6.72,0.59,11.2,15.1,0.016,36.8,26.5,True
6.96,0.49,14.4,22.4,0.038,13.1,43.7,True
6.93,0.62,21.5,13.1,0.017,17.2,21.4,True
8.41,2.61,39.8,86.8,1.66,176.2,362.9,False
7.21,0.61,20.4,12.0,0.029,36.9,32.5,True
7.14,0.9,10.2,17.4,0.01,25.8,49.6,True
4.73,3.8,59.1,90.0,1.615,202.9,313.4,False
7.4,0.76,17.5,13.1,0.026,39.2,49.2,True
6.73,0.26,14.6,24.8,0.028,15.1,38.1,True
6.58,0.41,18.3,21.0,0.017,16.6,50.1,True
6.6,0.69,10.8,23.0,0.01,39.9,42.9,True
5.32,3.74,56.0,73.0,0.598,267.0,268.0,False
7.02,0.83,20.8,21.8,0.021,14.0,40.9,True
9.66,2.65,52.3,64.4,1.183,217.7,313.4,False
6.91,0.77,10.7,18.0,0.039,32.2,35.4,True
6.96,0.52,13.5,8.4,0.014,34.0,41.1,True
5.65,3.58,53.9,68.0,1.574,208.6,228.7,False
7.25,0.43,14.8,14.9,0.022,32.7,41.5,True
7.78,0.36,10.1,10.7,0.022,23.3,46.2,True
7.4,0.25,12.1,14.5,0.012,41.5,35.4,True
7.3,0.49,10.7,5.6,0.035,36.3,57.5,True
5.65,4.38,64.2,77.3,1.927,256.5,279.0,False
7.45,0.82,15.9,12.8,0.005,13.4,58.8,True
6.9,0.68,14.9,22.6,0.015,34.0,54.8,True
5.62,4.1,47.2,76.8,1.243,186.2,369.5,False
6.65,0.81,17.9,12.0,0.011,25.3,51.3,True
5.12,3.56,59.0,72.4,1.736,210.4,392.6,False
6.53,0.46,16.7,19.0,0.03,13.6,38.7,True
6.84,0.59,16.5,19.5,0.039,36.9,15.7,True
6.93,0.53,20.7,11.1,0.037,11.6,43.6,True
7.03,0.73,21.2,23.4,0.022,13.6,15.1,True
5.63,4.08,47.2,71.5,0.645,233.2,359.1,False
7.54,0.63,14.9,22.7,0.008,42.4,48.0,True
9.38,3.42,57.2,87.0,1.755,274.2,223.4,False
8.49,3.79,39.2,75.4,1.765,210.0,363.6,False
7.18,0.43,15.5,24.6,0.008,23.0,25.1,True
5.02,2.24,45.0,74.7,0.779,226.5,207.6,False
7.7,0.65,10.4,5.5,0.018,10.1,46.9,True
7.11,0.6,17.7,23.6,0.013,42.0,20.8,True
8.69,2.83,48.0,67.8,0.903,162.6,362.9,False
6.78,0.6,13.8,20.6,0.019,23.5,27.9,True
7.19,0.6,20.0,22.3,0.032,19.3,55.7,True
7.39,0.87,10.3,12.3,0.008,40.7,54.0,True
7.18,0.4,20.7,20.3,0.025,23.0,52.2,True
8.89,3.53,36.7,78.9,1.594,252.4,231.8,False
7.66,0.55,20.1,17.4,0.014,43.3,45.9,True
6.67,0.24,17.4,18.0,0.029,24.0,19.6,True
9.34,3.54,50.2,50.1,1.02,274.4,233.3,False
7.42,0.64,11.5,5.7,0.03,12.8,40.3,True
7.73,0.45,18.3,17.9,0.015,45.0,48.7,True
7.25,0.5,18.6,10.7,0.032,43.4,44.5,True
7.65,0.67,17.8,24.1,0.017,39.7,45.2,True
7.66,0.7,18.7,13.1,0.04,44.3,22.9,True
6.86,0.72,19.7,17.4,0.02,33.2,32.3,True
6.77,0.23,16.4,6.7,0.007,24.4,40.4,True
7.21,0.51,15.0,24.2,0.009,17.2,47.9,True
7.11,0.47,17.8,6.1,0.021,26.4,48.9,True
7.19,0.89,13.0,24.3,0.014,19.1,38.0,True
7.04,0.33,20.8,20.1,0.011,15.4,59.0,True
7.39,0.85,17.4,8.8,0.012,35.2,37.5,True
6.51,0.58,11.7,6.5,0.035,41.7,29.4,True
7.48,0.22,17.9,14.7,0.009,16.6,59.3,True
6.61,0.45,19.8,11.8,0.015,33.6,50.2,True
6.87,0.88,14.1,10.8,0.029,12.0,37.6,True
7.62,0.78,12.4,22.1,0.039,26.0,27.6,True
6.59,0.38,12.7,19.8,0.016,20.7,49.5,True
7.71,0.53,13.6,8.8,0.039,38.9,33.3,True
7.5,0.8,21.1,15.6,0.017,25.5,24.8,True
7.22,0.79,14.6,13.4,0.033,28.1,47.5,True
7.69,0.69,20.8,21.6,0.021,37.6,47.5,True
7.41,0.85,12.8,11.1,0.025,30.6,37.2,True
7.54,0.6,12.3,20.1,0.005,40.9,42.6,True
7.59,0.22,12.9,15.9,0.031,23.3,35.6,True
7.18,0.78,12.9,21.0,0.034,10.3,48.7,True
8.82,3.97,38.7,62.3,1.381,250.4,254.6,False
9.08,4.08,60.1,79.5,1.19,291.5,312.7,False
8.81,2.45,56.8,64.0,1.175,253.9,250.6,False
4.91,4.4,60.7,86.5,0.598,187.2,258.9,False
6.98,0.54,14.6,6.4,0.009,12.8,51.6,True
9.57,3.51,51.2,60.1,1.761,157.7,353.2,False
4.58,4.31,35.2,89.7,0.526,211.1,357.2,False
7.17,0.27,19.4,8.6,0.034,42.3,59.9,True
6.62,0.79,11.6,23.5,0.02,43.6,25.8,True
9.44,4.05,49.4,55.3,1.374,264.1,355.4,False
9.45,2.95,37.8,73.1,1.377,220.8,309.7,False
5.71,4.41,61.2,76.8,1.408,190.7,263.2,False
7.55,0.84,11.8,22.3,0.015,38.8,39.3,True
8.99,2.95,42.9,88.4,1.648,222.4,297.3,False
6.81,0.5,16.7,6.4,0.011,18.0,29.8,True
6.65,0.84,19.0,6.2,0.025,27.3,56.2,True
7.09,0.28,11.6,14.0,0.013,36.3,48.9,True
7.15,0.44,19.8,13.7,0.03,17.8,49.9,True
6.53,0.24,18.2,19.7,0.035,10.2,54.6,True
7.73,0.5,13.7,11.2,0.026,41.4,23.4,True
7.37,0.57,13.8,22.1,0.015,28.7,21.5,True
6.78,0.64,17.5,13.4,0.01,15.5,32.2,True
6.68,0.24,10.1,10.2,0.028,13.6,42.2,True
7.0,0.62,20.7,13.0,0.026,34.2,56.9,True
8.5,3.74,48.0,56.4,0.966,155.5,325.6,False
7.55,0.41,20.6,11.9,0.018,11.4,58.5,True
7.76,0.42,14.2,9.9,0.018,15.1,49.1,True
6.95,0.22,13.1,24.0,0.013,40.4,18.1,True
6.59,0.72,20.0,18.6,0.027,30.2,26.1,True
7.35,0.81,14.0,10.4,0.013,37.7,27.7,True
7.42,0.37,12.2,13.9,0.03,11.2,20.2,True
6.68,0.67,18.1,19.7,0.023,34.5,56.6,True
7.79,0.63,14.9,8.9,0.021,15.3,28.8,True
7.53,0.39,21.1,15.8,0.025,33.9,33.1,True
9.09,2.53,40.5,69.2,0.564,273.3,291.8,False
9.75,2.28,39.4,72.7,0.513,295.8,285.3,False
9.1,3.73,41.3,74.3,0.733,163.8,395.6,False
6.54,0.48,18.3,5.1,0.015,13.4,29.2,True
7.05,0.49,20.8,7.6,0.006,42.3,39.1,True
7.3,0.61,20.8,19.1,0.029,27.8,50.8,True
7.64,0.29,20.6,8.9,0.032,27.8,49.9,True
7.8,0.63,18.9,7.0,0.038,33.5,16.8,True
6.94,0.9,21.4,22.5,0.025,26.6,18.9,True
9.18,4.44,54.6,84.2,1.231,249.3,382.5,False
7.58,0.69,15.9,13.8,0.011,22.7,23.3,True
6.76,0.29,19.1,22.6,0.008,24.2,26.6,True
8.94,3.41,50.1,65.2,0.772,272.7,268.8,False
8.74,3.75,62.1,69.0,1.639,174.4,286.5,False
6.66,0.66,21.9,6.4,0.009,29.3,41.2,True
7.68,0.23,10.4,24.7,0.02,25.1,44.3,True
9.73,3.01,50.3,72.5,1.992,277.7,266.2,False
8.32,2.64,36.6,68.7,0.936,245.8,255.3,False
5.39,2.77,55.0,68.3,1.21,292.8,379.0,False
6.74,0.67,17.1,20.6,0.013,38.3,46.3,True
6.87,0.66,13.4,23.1,0.018,24.3,29.3,True
7.56,0.43,16.8,9.6,0.027,12.2,36.9,True
5.64,2.3,56.3,66.8,1.21,265.3,275.3,False
5.64,2.9,36.5,78.1,0.581,171.7,287.4,False
5.67,2.44,38.3,65.5,1.58,207.6,397.4,False
7.69,0.75,12.1,24.2,0.031,19.7,18.3,True
7.58,0.89,17.5,8.0,0.025,36.4,15.7,True
6.6,0.38,18.6,6.1,0.036,17.7,39.4,True
6.86,0.84,13.4,9.2,0.032,12.0,35.8,True
6.84,0.57,14.9,20.5,0.026,20.2,24.9,True
7.55,0.36,16.4,17.1,0.01,29.4,57.9,True
7.62,0.61,19.3,16.1,0.014,25.0,53.5,True
7.2,0.77,17.5,20.3,0.023,14.3,39.1,True
7.56,0.27,15.6,20.9,0.026,13.3,40.6,True
7.76,0.71,13.7,11.0,0.008,38.6,30.7,True
6.77,0.84,11.0,6.0,0.008,40.1,50.2,True
7.23,0.76,17.7,24.9,0.009,39.2,46.4,True
7.54,0.56,11.2,16.7,0.024,21.0,19.7,True
6.87,0.66,21.0,16.6,0.009,32.5,46.4,True
6.54,0.74,17.2,19.1,0.024,31.2,51.1,True
6.9,0.61,18.2,21.9,0.024,21.0,34.2,True
7.73,0.66,22.0,13.7,0.024,39.9,47.7,True
7.48,0.32,13.8,22.9,0.027,28.2,23.2,True
7.2,0.73,21.8,24.2,0.01,37.7,21.1,True
7.37,0.51,12.4,19.3,0.017,32.3,53.6,True
9.16,3.64,49.0,58.0,1.897,236.8,361.2,False
7.16,0.4,18.6,6.9,0.028,13.3,57.0,True
7.63,0.88,18.5,15.5,0.024,27.4,26.8,True
5.75,3.16,58.5,61.5,0.574,148.7,222.2,False
7.2,0.47,17.7,19.3,0.035,17.0,45.2,True
8.68,3.18,54.2,53.8,0.729,202.1,335.9,False
6.51,0.33,18.2,16.9,0.008,18.2,54.8,True
6.82,0.69,18.2,19.0,0.037,28.0,19.3,True
7.01,0.89,13.6,17.3,0.032,32.0,45.0,True
6.98,0.21,10.7,24.2,0.012,13.3,48.5,True
6.81,0.44,21.7,24.8,0.005,24.1,58.2,True
5.52,4.01,47.0,52.0,0.772,249.8,324.9,False
7.79,0.74,17.2,21.3,0.03,43.2,59.6,True
7.13,0.73,19.5,7.7,0.008,31.9,44.9,True
7.52,0.79,15.2,12.3,0.013,24.2,42.1,True
6.55,0.56,16.7,24.4,0.028,12.9,16.3,True
5.74,3.83,62.6,59.3,0.797,298.8,348.1,False
7.17,0.48,15.7,24.4,0.017,23.1,30.9,True
6.68,0.85,19.0,14.9,0.027,27.5,48.7,True
9.2,4.28,56.2,60.4,0.834,185.6,233.3,False
9.12,2.48,43.4,71.6,1.703,241.5,373.2,False
6.6,0.29,21.1,24.4,0.011,42.8,57.5,True
6.76,0.66,13.8,8.4,0.039,29.5,44.7,True
7.54,0.83,11.7,24.7,0.02,11.5,59.7,True
6.51,0.63,14.4,11.4,0.008,29.9,37.6,True
7.75,0.67,16.4,24.0,0.034,11.2,28.4,True
7.33,0.85,11.5,6.2,0.026,37.3,32.4,True
7.28,0.21,12.5,8.7,0.024,22.1,20.7,True
6.8,0.23,12.3,15.6,0.024,36.5,44.6,True
7.76,0.85,14.5,16.2,0.017,23.3,20.3,True
6.78,0.47,12.2,5.3,0.018,19.2,52.3,True
7.64,0.24,10.5,15.1,0.03,29.2,26.9,True
6.53,0.9,21.8,10.5,0.038,22.0,49.7,True
7.51,0.47,21.6,12.3,0.03,11.3,41.5,True
7.53,0.54,12.6,13.1,0.017,41.4,39.3,True
7.47,0.53,15.3,12.9,0.039,14.9,56.8,True
7.05,0.4,13.5,24.6,0.032,14.9,57.1,True
6.66,0.34,19.0,16.1,0.01,42.4,26.8,True
7.8,0.56,21.0,10.8,0.029,25.0,19.6,True
6.79,0.63,12.3,21.1,0.017,32.2,20.8,True
7.68,0.62,16.0,14.7,0.014,35.7,23.7,True
7.22,0.82,18.8,14.8,0.023,12.5,45.6,True
7.52,0.55,16.5,24.6,0.01,19.6,28.9,True
6.63,0.78,12.0,6.7,0.027,34.2,34.3,True
9.29,3.67,38.5,66.8,0.972,291.9,352.5,False
6.6,0.39,10.1,5.4,0.036,28.7,15.8,True
4.77,4.22,57.8,66.5,0.912,189.5,203.7,False
6.63,0.68,20.2,21.3,0.04,18.1,20.9,True
6.9,0.44,19.1,17.5,0.034,13.9,53.7,True
5.53,3.95,62.3,68.5,1.345,289.5,211.9,False
5.75,3.95,36.8,70.7,1.729,142.2,211.2,False
6.95,0.72,10.7,9.1,0.029,10.7,42.3,True
6.56,0.37,19.8,11.0,0.034,11.0,46.6,True
6.95,0.62,12.9,17.8,0.03,17.8,58.7,True
7.0,0.65,17.3,18.0,0.023,12.7,21.6,True
8.54,3.3,61.9,89.9,0.925,154.0,195.1,False
7.47,0.63,21.7,8.8,0.022,12.3,39.9,True
7.63,0.41,17.9,11.5,0.02,36.0,29.3,True
5.64,3.49,48.7,58.2,0.549,280.5,240.1,False
5.33,3.28,47.7,85.7,1.328,213.5,197.2,False
8.31,2.92,40.8,50.4,1.508,291.5,332.2,False
5.05,3.22,44.9,77.8,0.832,166.3,345.8,False
6.58,0.47,14.1,9.3,0.006,23.5,18.8,True
4.58,3.84,51.4,56.6,0.562,192.4,232.9,False
6.76,0.42,18.7,15.8,0.024,16.9,39.3,True
8.69,3.04,49.8,55.8,1.336,169.5,272.6,False
9.57,3.87,62.1,75.4,1.352,187.1,227.9,False
6.57,0.32,21.0,15.4,0.033,28.4,29.1,True
7.66,0.79,10.8,8.3,0.022,22.9,17.1,True
6.6,0.89,16.0,14.5,0.02,42.9,23.0,True
7.01,0.25,16.1,7.8,0.008,35.0,58.7,True
7.8,0.33,16.4,15.8,0.04,39.8,24.5,True
9.77,2.6,35.9,78.3,1.999,142.2,365.5,False
5.51,4.18,37.9,71.5,0.595,174.8,242.4,False
7.75,0.79,20.2,18.7,0.023,24.4,47.3,True
7.02,0.54,17.8,20.7,0.019,29.1,32.9,True
7.48,0.77,21.6,16.3,0.015,28.1,48.2,True
6.57,0.6,11.9,15.8,0.007,37.9,55.7,True
7.48,0.73,15.6,17.0,0.037,43.2,45.7,True
7.78,0.8,14.7,6.0,0.019,20.5,16.2,True
7.2,0.86,20.4,23.1,0.025,11.3,41.4,True
7.58,0.72,13.0,21.8,0.012,17.2,59.0,True
7.67,0.61,18.7,8.3,0.024,13.4,43.5,True
4.69,3.11,57.9,80.6,1.996,261.0,294.6,False
7.04,0.65,21.2,7.5,0.013,10.8,30.1,True
5.47,3.2,52.3,86.6,0.713,229.4,273.6,False
5.77,2.97,57.8,57.5,0.968,254.6,247.2,False
6.51,0.87,21.1,18.3,0.005,27.6,23.1,True
6.71,0.73,16.8,5.8,0.034,26.7,24.0,True
4.63,2.28,41.6,70.7,0.977,228.4,276.7,False
7.46,0.75,14.2,9.9,0.007,26.1,21.3,True
6.99,0.84,18.6,11.6,0.012,10.3,22.7,True
8.37,4.14,49.8,86.4,0.653,214.1,373.8,False
9.43,3.84,47.5,76.3,0.903,271.2,377.2,False
9.75,3.72,49.4,67.0,1.734,226.0,380.3,False
6.64,0.23,18.8,6.9,0.014,41.0,42.3,True
7.54,0.3,16.8,17.8,0.03,17.4,48.7,True
6.65,0.26,15.3,10.3,0.039,28.5,38.4,True
7.01,0.86,19.2,8.8,0.013,26.1,27.2,True
7.18,0.26,15.5,8.3,0.036,18.2,21.7,True
7.2,0.67,10.8,20.7,0.026,27.0,39.9,True
8.39,3.25,47.0,87.3,1.317,192.0,238.9,False
7.36,0.35,11.6,6.3,0.014,11.4,33.7,True
9.34,4.28,57.3,58.7,0.739,289.5,293.5,False
4.8,2.81,36.5,67.3,1.419,188.4,376.2,False
6.64,0.31,14.7,18.6,0.006,42.3,41.7,True
9.17,2.32,59.8,80.9,1.616,192.3,286.0,False
5.6,3.03,64.9,63.4,1.382,263.0,274.1,False
9.24,4.17,50.0,73.1,0.819,251.5,203.4,False
9.21,3.8,39.5,85.4,0.977,222.8,369.3,False
6.69,0.23,21.1,20.8,0.036,44.3,47.2,True
6.96,0.7,13.1,18.5,0.02,10.2,56.6,True
7.09,0.59,18.4,10.5,0.013,11.7,36.0,True
6.81,0.31,21.1,7.9,0.005,34.3,25.0,True
6.69,0.75,11.2,10.0,0.013,23.9,47.7,True
7.28,0.79,13.2,14.4,0.01,25.9,43.6,True
5.24,2.85,42.9,89.7,1.452,190.1,371.7,False
7.74,0.2,11.7,13.0,0.007,17.6,20.1,True
6.91,0.7,16.5,19.6,0.02,33.3,30.0,True
9.5,3.26,41.7,78.7,1.881,254.8,282.2,False
9.75,3.83,50.0,74.5,0.806,152.4,324.3,False
6.6,0.21,10.8,10.8,0.022,38.9,36.9,True
7.33,0.37,10.5,19.0,0.025,31.5,51.4,True
6.78,0.54,18.8,9.9,0.012,11.4,25.7,True
6.7,0.4,16.7,9.0,0.039,19.7,34.5,True
4.74,2.29,57.1,89.5,1.391,191.0,232.2,False
6.86,0.54,11.3,13.1,0.021,27.2,38.3,True
7.16,0.67,15.1,18.3,0.034,17.3,47.7,True
7.12,0.42,14.4,5.2,0.037,14.9,27.6,True
7.09,0.63,14.8,14.9,0.036,19.6,27.9,True
6.54,0.75,18.0,9.5,0.019,42.0,45.8,True
8.56,3.04,35.1,66.7,1.863,192.7,387.5,False
8.41,2.21,57.8,67.9,0.524,257.0,227.9,False
6.6,0.41,18.4,13.9,0.012,21.0,39.5,True
7.67,0.34,22.0,19.3,0.012,35.1,20.9,True
7.65,0.86,13.7,23.4,0.038,28.4,41.8,True
7.42,0.79,19.6,18.3,0.038,21.8,18.4,True
6.61,0.8,18.1,9.3,0.026,31.9,50.1,True
6.82,0.2,11.2,9.3,0.006,10.4,19.0,True
7.02,0.75,19.8,21.3,0.038,30.2,42.5,True
9.73,2.45,35.3,60.6,1.788,144.2,350.0,False
9.52,2.46,41.1,65.3,0.988,275.4,203.7,False
9.46,2.87,52.0,89.3,0.809,199.9,389.0,False
9.04,4.16,55.4,51.2,1.304,158.9,261.2,False
7.46,0.63,18.5,11.0,0.034,15.5,38.1,True
7.37,0.56,12.5,22.4,0.01,11.4,46.0,True
7.21,0.31,11.1,6.8,0.015,20.1,24.7,True
7.61,0.66,21.5,5.1,0.025,44.4,36.4,True
7.2,0.34,15.5,15.2,0.035,14.9,38.8,True
6.75,0.36,13.4,17.7,0.012,29.1,41.4,True
6.62,0.24,18.3,5.7,0.013,26.6,16.1,True
6.7,0.45,17.0,24.8,0.009,29.8,15.3,True
7.11,0.29,14.5,5.8,0.039,21.4,58.0,True
7.53,0.21,22.0,23.4,0.017,15.6,17.5,True
7.45,0.42,13.4,18.5,0.007,24.2,17.4,True
7.73,0.54,18.0,24.7,0.029,18.8,51.4,True
7.55,0.38,10.1,6.6,0.027,18.2,16.2,True
5.7,3.82,62.0,83.5,1.497,294.3,190.7,False
7.27,0.33,10.7,10.7,0.024,26.6,47.4,True
8.58,3.02,61.9,54.5,1.185,271.8,300.0,False
7.45,0.47,20.9,10.6,0.038,37.7,27.9,True
6.78,0.69,19.1,24.4,0.036,36.4,59.5,True
7.34,0.44,16.0,9.9,0.011,43.1,50.4,True
8.62,3.99,41.6,50.3,1.82,243.9,354.4,False
7.63,0.6,15.5,8.8,0.03,11.1,24.1,True
6.88,0.7,20.5,21.1,0.023,44.9,55.4,True
7.29,0.52,14.1,10.8,0.028,25.8,46.9,True
4.78,4.05,45.0,88.4,1.517,269.3,382.5,False
6.74,0.51,13.9,22.3,0.018,23.1,26.3,True
6.97,0.72,11.5,15.8,0.038,40.0,27.3,True
7.0,0.5,11.9,10.3,0.028,13.4,56.8,True
7.63,0.37,14.7,21.6,0.035,27.0,22.7,True
7.24,0.75,21.2,5.5,0.039,16.0,19.3,True
7.21,0.23,15.1,5.6,0.025,36.3,39.8,True
6.54,0.4,21.6,24.4,0.007,33.8,21.3,True
4.77,2.4,37.2,81.1,0.963,281.1,369.8,False
7.67,0.63,15.0,12.7,0.02,11.1,24.9,True
7.71,0.78,21.6,24.3,0.005,37.3,19.6,True
7.7,0.35,13.9,20.9,0.008,30.0,37.3,True
5.4,2.88,56.9,58.2,0.594,292.9,354.3,False
7.67,0.32,20.0,23.4,0.009,30.6,41.0,True
4.77,3.39,41.8,84.8,1.098,263.3,235.6,False
7.08,0.73,14.8,5.9,0.014,21.6,41.3,True
7.23,0.89,21.8,17.2,0.036,22.2,41.0,True
6.71,0.55,10.2,9.6,0.009,22.1,19.8,True
6.55,0.71,11.0,22.6,0.03,18.2,52.0,True
7.69,0.57,18.0,19.0,0.038,42.4,37.7,True
7.61,0.57,11.7,11.5,0.022,42.7,25.4,True
6.66,0.5,15.8,10.8,0.006,43.4,32.7,True
